Tempo,Tntc1 medio,Tntc1,Tntc2 medio,Tntc2
3.08,30.01,29.99,30.07,30.18
4.17,30.01,29.90,30.06,30.18
5.25,30.02,29.90,30.07,30.08
6.34,30.01,29.81,30.06,30.08
7.42,30.00,30.08,30.06,29.99
8.50,30.02,29.90,30.06,30.18
9.59,30.02,30.27,30.07,30.18
10.67,30.01,29.90,30.07,29.90
11.76,30.01,30.08,30.07,29.81
12.84,30.01,29.99,30.07,30.08
13.93,30.01,29.99,30.07,30.18
15.01,30.01,29.90,30.07,30.08
16.09,30.01,29.90,30.07,30.18
17.18,30.00,29.99,30.05,29.99
18.26,30.02,29.99,30.07,29.99
19.35,30.00,29.90,30.05,29.99
20.43,30.00,29.99,30.05,30.08
21.51,29.99,29.90,30.06,30.18
22.60,30.00,30.18,30.06,29.99
23.68,30.00,30.08,30.06,29.99
24.77,30.01,29.90,30.06,30.08
25.85,30.00,29.81,30.05,30.27
26.94,29.99,29.81,30.04,30.18
28.02,29.98,30.18,30.05,29.99
29.10,29.98,29.90,30.06,30.18
30.19,30.01,29.99,30.05,30.08
31.27,30.01,30.18,30.05,30.08
32.36,30.00,30.08,30.06,29.99
33.44,30.00,29.99,30.06,29.99
34.53,30.00,29.99,30.06,30.08
35.61,29.99,29.81,30.05,30.18
36.70,29.98,29.81,30.06,30.18
37.78,29.98,29.81,30.04,29.90
38.86,29.99,29.99,30.04,29.99
39.95,29.99,29.99,30.05,30.18
41.03,30.01,29.99,30.06,30.18
42.12,30.00,30.08,30.06,29.90
43.20,30.00,29.99,30.06,29.99
44.29,29.98,30.18,30.05,29.90
45.37,29.99,30.18,30.07,29.81
46.45,29.99,30.08,30.04,29.99
47.54,30.00,29.99,30.04,30.08
48.62,29.99,30.18,30.06,30.18
49.71,29.97,29.99,30.05,29.99
50.79,30.00,29.90,30.04,30.18
51.88,29.98,29.99,30.05,30.18
52.96,29.99,29.90,30.05,30.08
54.04,30.00,29.99,30.06,30.18
55.13,30.00,29.99,30.04,30.08
56.21,30.00,30.27,30.04,29.99
57.30,29.99,30.08,30.04,29.99
58.38,30.00,30.18,30.05,30.08
59.47,30.00,30.18,30.07,29.99
60.55,29.99,30.18,30.05,30.08
61.63,29.98,30.08,30.06,30.08
62.72,29.99,29.90,30.05,30.08
63.80,29.98,29.99,30.05,29.99
64.89,30.00,29.90,30.04,30.08
65.97,30.00,29.81,30.04,30.27
67.06,29.99,29.90,30.06,30.27
68.14,30.01,29.99,30.03,30.08
69.22,29.99,30.08,30.06,30.08
70.31,30.01,29.99,30.05,30.18
71.39,29.97,30.08,30.05,29.90
72.48,29.98,29.81,30.07,29.99
73.56,29.98,30.18,30.07,29.99
74.65,30.01,30.08,30.06,29.99
75.73,30.00,29.81,30.05,30.08
76.81,30.00,30.08,30.04,30.08
77.90,30.00,29.90,30.05,30.08
78.98,30.01,29.90,30.05,30.18
80.07,29.99,29.90,30.06,30.08
81.15,30.00,29.90,30.07,30.08
82.24,30.00,29.99,30.05,30.08
83.32,30.00,30.08,30.06,29.99
84.40,29.99,29.99,30.06,29.90
85.49,30.01,30.27,30.05,29.90
86.57,29.99,29.90,30.05,30.08
87.66,29.99,29.99,30.05,29.90
88.74,30.00,29.99,30.05,30.08
89.83,30.00,29.99,30.05,29.99
90.91,29.99,29.99,30.05,30.27
92.00,30.00,29.81,30.05,30.08
93.08,30.00,29.99,30.06,30.18
94.16,29.99,30.08,30.06,29.99
95.25,30.00,29.99,30.05,29.90
96.33,30.00,29.90,30.05,29.99
97.42,30.01,29.99,30.04,30.08
98.50,29.99,30.08,30.05,30.08
99.59,30.01,29.90,30.05,30.08
100.67,29.98,30.08,30.07,30.08
101.75,30.00,29.90,30.05,29.99
102.84,29.99,30.08,30.05,29.99
103.92,30.00,30.08,30.04,29.99
105.01,30.00,29.99,30.05,29.90
106.09,29.99,29.99,30.04,30.08
107.18,29.99,29.81,30.05,29.99
108.26,30.00,29.99,30.04,29.99
109.34,29.98,30.08,30.06,30.08
110.43,30.00,29.99,30.06,30.08
111.51,29.98,29.99,30.04,30.18
112.60,30.00,29.99,30.06,30.08
113.68,30.00,29.81,30.05,30.08
114.77,29.99,30.08,30.06,29.90
115.85,29.99,30.18,30.05,29.99
116.93,30.00,29.99,30.04,29.90
118.02,29.99,30.08,30.05,29.90
119.10,29.99,29.99,30.05,30.18
120.19,30.00,30.18,30.05,29.99
121.27,30.00,29.99,30.04,30.08
122.36,30.00,29.99,30.06,30.18
123.44,29.99,29.90,30.05,30.08
124.53,29.99,29.99,30.05,30.08
125.61,30.00,29.90,30.04,30.08
126.69,29.98,30.08,30.04,30.08
127.78,29.99,29.99,30.05,30.08
128.86,30.00,30.08,30.06,29.99
129.95,30.00,30.08,30.06,29.99
131.03,30.00,29.99,30.05,29.90
132.12,30.01,29.99,30.05,30.08
133.20,29.99,29.90,30.05,29.99
134.29,29.99,29.90,30.06,30.08
135.37,30.02,29.99,30.05,30.18
136.46,30.00,29.99,30.05,30.08
137.54,29.99,30.08,30.05,30.08
138.62,29.99,29.71,30.05,29.99
139.71,30.00,29.99,30.04,29.99
140.79,30.00,30.08,30.06,29.99
141.88,29.98,30.08,30.04,29.99
142.96,29.99,29.99,30.06,29.99
144.05,29.99,29.90,30.04,29.99
145.13,30.00,29.99,30.05,29.99
146.21,30.00,29.90,30.04,30.08
147.30,29.99,29.99,30.05,29.99
148.38,29.99,29.90,30.05,30.08
149.47,30.00,29.81,30.05,30.08
150.55,30.00,30.08,30.05,30.08
151.63,30.00,29.99,30.05,30.18
152.72,30.00,29.99,30.06,29.99
153.80,29.98,30.08,30.04,29.90
154.89,29.98,29.99,30.04,29.99
155.97,30.00,29.99,30.06,29.99
157.06,30.00,29.71,30.04,30.18
158.14,29.99,29.99,30.05,30.08
159.23,29.99,29.90,30.06,30.08
160.31,30.00,29.81,30.05,29.99
161.39,30.00,29.90,30.06,30.18
162.48,29.99,29.99,30.05,30.18
163.56,30.00,29.90,30.05,30.18
164.65,30.01,29.99,30.06,30.18
165.73,29.99,30.18,30.03,29.99
166.82,29.99,30.08,30.05,29.99
167.90,30.00,30.08,30.04,29.99
168.99,30.00,29.99,30.05,29.90
170.07,29.99,29.99,30.06,30.08
171.15,30.00,29.90,30.04,29.99
172.24,30.00,30.08,30.06,30.08
173.32,30.00,30.08,30.06,29.99
174.41,30.01,30.08,30.06,30.18
175.49,30.00,29.99,30.05,30.18
176.58,30.00,29.90,30.05,30.08
177.66,29.99,29.99,30.05,30.18
178.75,30.00,29.90,30.05,29.99
179.83,30.01,29.90,30.05,30.08
180.91,30.01,29.99,30.04,29.99
182.00,30.00,29.99,30.04,29.99
183.08,30.01,30.18,30.04,30.08
184.17,30.01,29.99,30.03,29.90
185.25,30.00,30.08,30.05,29.90
186.34,30.00,29.90,30.05,29.99
187.42,30.01,29.81,30.04,30.08
188.51,30.01,30.08,30.05,30.08
189.59,30.01,29.99,30.05,29.99
190.67,30.00,30.18,30.05,30.08
191.76,30.00,30.08,30.05,30.08
192.84,30.02,30.08,30.04,30.08
193.93,30.01,30.08,30.05,29.90
195.01,29.99,29.99,30.05,29.81
196.10,29.99,29.99,30.04,30.08
197.18,29.98,29.90,30.05,30.18
198.26,30.00,29.71,30.05,30.08
199.35,29.99,30.08,30.04,30.08
200.43,30.00,29.90,30.05,30.27
201.52,30.00,30.08,30.05,30.08
202.60,29.99,29.90,30.05,29.99
203.69,30.02,29.99,30.03,29.90
204.77,29.98,29.90,30.06,30.08
205.85,29.98,30.08,30.06,29.99
206.94,30.00,30.08,30.04,29.99
208.02,30.00,30.18,30.07,29.81
209.11,30.01,29.99,30.03,30.08
210.19,30.00,30.18,30.04,29.90
211.28,29.99,30.08,30.05,29.99
212.36,29.99,29.99,30.04,29.90
213.45,30.00,29.90,30.04,30.08
214.53,30.01,29.81,30.05,30.27
215.61,30.01,29.99,30.05,30.08
216.70,30.00,29.99,30.05,29.99
217.78,29.99,29.99,30.04,29.99
218.87,29.99,30.08,30.04,29.99
219.95,30.01,29.99,30.04,30.18
221.04,29.99,30.18,30.04,29.99
222.12,30.00,30.18,30.05,29.81
223.21,30.01,30.08,30.04,29.99
224.29,30.01,30.08,30.06,30.08
225.37,29.99,29.99,30.05,30.08
226.46,30.00,29.90,30.04,30.08
227.54,30.00,29.99,30.04,29.90
228.63,29.98,29.99,30.05,30.08
229.71,30.00,29.90,30.05,30.18
230.80,30.00,30.08,30.06,30.08
231.88,30.01,30.08,30.03,30.08
232.96,29.98,29.99,30.05,29.90
234.05,29.98,29.99,30.07,29.90
235.13,29.99,30.08,30.04,29.99
236.22,29.99,29.99,30.05,30.08
237.30,30.00,29.81,30.04,29.90
238.39,29.99,29.90,30.04,29.99
239.47,29.99,29.81,30.04,30.18
240.55,29.99,29.90,30.05,30.08
241.64,29.99,29.99,30.05,30.08
242.72,30.00,30.27,30.03,29.99
243.81,29.99,30.18,30.06,29.90
244.89,29.99,29.99,30.04,30.08
245.98,29.99,29.99,30.05,30.18
247.06,30.03,30.08,30.05,29.90
248.15,30.00,30.18,30.05,29.99
249.23,29.99,30.18,30.04,30.08
250.31,30.01,29.99,30.06,30.08
251.40,29.99,29.99,30.06,29.99
252.48,29.99,29.81,30.05,30.18
253.57,30.02,29.99,30.04,29.99
254.65,30.00,29.81,30.05,30.08
255.74,30.00,29.99,30.05,30.08
256.82,30.01,30.08,30.06,30.18
257.90,30.00,30.08,30.05,29.90
258.99,29.99,30.08,30.06,30.08
260.07,30.00,30.08,30.07,30.18
261.16,30.01,29.81,30.05,29.99
262.24,30.02,30.08,30.05,29.99
263.33,29.99,30.18,30.05,29.99
